Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLIY SUKHOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLY IVANOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLY KOLODKIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANCE,"не все данные найдены: name='ANCELIA', imo='', mmsi='', type='Sailing vessel'"
ANELLY,9547221,477995338,Tanker,https://www.vesselfinder.com/ru/vessels?name=ANELLY,
,,,,https://www.vesselfinder.com/ru/vessels?name=ANFAT,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=ANGARA,"не все данные найдены: name='ANGARA', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=ANGGERIK,"не все данные найдены: name='INAI ANGGERIK', imo='', mmsi='', type=''"
ANIK,8714528,273291570,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=ANIK,
,,,,https://www.vesselfinder.com/ru/vessels?name=ANNA BARBARA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANNA META,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANTIO,"не все данные найдены: name='ANTIO', imo='', mmsi='', type='Cargo ship'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ANTON GURIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AQUA IBERIA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AQUA LIGERA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AQUAHOLIC,"не все данные найдены: name='AQUAHOLIC', imo='', mmsi='', type='Pleasure craft'"
AQUALIBERTY,9592226,636015174,Tanker,https://www.vesselfinder.com/ru/vessels?name=AQUALIBERTY,
,,,,https://www.vesselfinder.com/ru/vessels?name=AQUANAVIGATOR,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=AQUARIUS HONOR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ARA HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ARCH.MICHAEL,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=AREND,"не все данные найдены: name='AREND', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ARIES,"не все данные найдены: name='ARIES', imo='', mmsi='', type='Pleasure craft'"
ARINAY,8518247,273386370,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=ARINAY,
,,,,https://www.vesselfinder.com/ru/vessels?name=ARIS,"не все данные найдены: name='ARIS', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ARITAMARU,"не все данные найдены: name='ARITAMARU', imo='', mmsi='', type='Tug'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ARKA 34,статус код: 400
ARMU,9114529,671252100,Unknown,https://www.vesselfinder.com/ru/vessels?name=ARMU,
ARSENYEV,8700125,273165300,Tanker,https://www.vesselfinder.com/ru/vessels?name=ARSENYEV,
ASHANTI,9319636,273294470,Tug,https://www.vesselfinder.com/ru/vessels?name=ASHANTI,
ASHLEY,9258466,305010400,Tanker,https://www.vesselfinder.com/ru/vessels?name=ASHLEY,
,,,,https://www.vesselfinder.com/ru/vessels?name=ASIA 2HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ASIA EXPRESS,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ASIA6HO,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=ASIATIC NEPTUNE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ASTORIA,"не все данные найдены: name='ASTORIA', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ATAYAL MARINER,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ATHERINA,"не все данные найдены: name='ATHERINA', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ATLANTIC STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ATLANTICA,"не все данные найдены: name='ATLANTICA', imo='', mmsi='', type='Sailing vessel'"
ATLANTICOS,9282986,273617650,Tanker (HAZ-B),https://www.vesselfinder.com/ru/vessels?name=ATLANTICOS,
ATMOSPHERE,9401001,725015400,Pleasure craft,https://www.vesselfinder.com/ru/vessels?name=ATMOSPHERE,
,,,,https://www.vesselfinder.com/ru/vessels?name=AU GEMINI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AVRA I,статус код: 400
AVRORA,8504258,273330710,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=AVRORA,
,,,,https://www.vesselfinder.com/ru/vessels?name=AYA I,статус код: 400
AYAKS,8662658,273254500,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=AYAKS,
,,,,https://www.vesselfinder.com/ru/vessels?name=AYE EVOLUTION,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AZOV,"не все данные найдены: name='AZOV', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BAEKKYUNG,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=BAIKAL,"не все данные найдены: name='BAIKAL', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BAL BOAN,статус код: 400
